n_variables,s_size,p_sparse,VAFx,n_components,Dataset,Loss,FEV,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,Var_W,Var_P,msd_W_P,W_Corr,P_Corr,Iterations,MSE_W_P
10,100,0,0.8,2,5347,0.15668485210116032,0.8433151479051685,1,0.009423785061521625,0.009423786587465479,-3.4940152424514154e-4,-3.493837110870069e-4,0.009137065067336081,0.009137065229214262,1.2657625724764974e-12,0.9516334947184365,0.951633505442416,10.46,1.2657625724764974e-12
10,100,0,0.8,3,5365,0.13562584485121004,0.864374155154034,1,0.018701659462454886,0.01870165867478853,-0.0013865194284638544,-0.00138652579193474,0.018626863228737647,0.01862686223133,1.0488130465060561e-12,0.905798750537766,0.9057987559975772,10.68,1.0488130465060561e-12
10,100,0,0.95,2,5383,0.03918714923070439,0.9608128507724024,1,0.0038045042305445806,0.0038045042386690682,-5.221853490919682e-5,-5.2226371467832315e-5,0.003754617915794428,0.003754617671993876,6.213480264851928e-13,0.9806808768986841,0.980680880240004,11.11,6.213480264851928e-13
10,100,0,0.95,3,5401,0.03389867162048914,0.9661013283827959,1,0.008128821280034943,0.008128821813767858,-8.501253459228184e-4,-8.501272200655668e-4,0.008119135501902144,0.008119136123139923,6.570075033289497e-13,0.9591848601776245,0.9591848585721502,11.2,6.570075033289497e-13
10,100,0,1,2,5419,1.246996996449539e-31,1,1,7.492993543482637e-6,7.492993543482496e-6,2.8675090797069813e-5,2.867509079707542e-5,7.480996221179874e-6,7.480996221179728e-6,6.835012960105529e-33,0.9999622651686418,0.999962265168642,96.54,6.835012960105529e-33
10,100,0,1,3,5437,1.413559226246827e-31,1,1,1.0232066607229846e-5,1.0232066607229836e-5,5.6613157761966985e-5,5.661315776196334e-5,1.0204266792128683e-5,1.0204266792128678e-5,8.310244700612677e-33,0.9999480720718077,0.9999480720718077,102,8.310244700612677e-33
10,100,0.5,0.8,2,5353,0.17259770430749521,0.8353349438372906,0.796,0.024703820953407202,0.021752445987760497,-0.002175550029041456,-0.0023316430202970115,0.024750614441093895,0.021786870208454753,0.0035801284167097753,0.875843599058684,0.8915712280045097,48.96,0.0035801284167097753
10,100,0.5,0.8,3,5371,0.15586898945916883,0.8546845247085106,0.708,0.04084199845126579,0.03631646818298672,7.714154291527608e-4,0.004704252563027761,0.040586018123844776,0.03600117551286683,0.010119325963172448,0.7937870110918626,0.8191160899694486,76.61,0.010119325963172448
10,100,0.5,0.95,2,5389,0.05740953229640684,0.9538631902980619,0.808,0.02325447277594847,0.01918548122118452,-0.0024544205931532107,-0.0033076004564412346,0.02342047759002513,0.01945586107244885,0.002254544518893738,0.8836068093981717,0.9041316727249914,56.39,0.002254544518893738
10,100,0.5,0.95,3,5407,0.053108407028860855,0.9585062660022866,0.7406666666666666,0.034076279360377444,0.029988177511827245,0.0011485641223522428,0.0023953347779213474,0.03413262266096125,0.030040818765685852,0.00765774919009703,0.8261427706920222,0.84956302842404,84.46,0.00765774919009703
10,100,0.5,1,2,5425,0.017897782035483586,0.9935830873544051,0.8160000000000001,0.023482477429169882,0.019589996070305385,-0.002222511923043882,-0.0036031073120302557,0.023561373021725177,0.019685942727566578,0.0022961738779777524,0.8840968523039135,0.9038356798695526,59.04,0.0022961738779777524
10,100,0.5,1,3,5443,0.019812516546722926,0.9928689157854738,0.74,0.034349333299519336,0.030376534009151277,1.8755896572717875e-4,-0.0017303723108864034,0.03441643669920222,0.03059511171719406,0.003860282478991008,0.8261452520456761,0.846570038303783,90.67,0.003860282478991008
10,100,0.8,0.8,2,5359,0.19694608290162482,0.8236134321352181,0.9440000000000001,0.01963021749041412,0.01577610926547858,-9.713060360872543e-4,-3.3924026205176753e-4,0.019776839129929193,0.015775755913041808,0.004111903007368599,0.8996169889100739,0.9234108298100274,27.13,0.004111903007368599
10,100,0.8,0.8,3,5377,0.16709148184648998,0.8481105276965247,0.9406666666666667,0.018373576607567572,0.014797605502521792,-0.002207225719680863,-8.373576647735086e-4,0.018497791362820218,0.014781067452769789,0.0030404019086029345,0.9056805908604398,0.9271802772934356,40.84,0.0030404019086029345
10,100,0.8,0.95,2,5395,0.07823826348923997,0.943963645966538,0.952,0.017084641206685954,0.012934195187496458,-0.0020756941604573964,-0.0017094798313944009,0.017306047966477785,0.012873162144264531,0.006369498330970413,0.9122234298818384,0.9373095069821328,27.69,0.006369498330970413
10,100,0.8,0.95,3,5413,0.06932612276692693,0.9504965030083107,0.9386666666666665,0.022410604827183586,0.017364682872302643,-0.0011413278403330674,-0.002266534128117099,0.022500299123595892,0.017322752282338365,0.003964525155047517,0.8867194704036708,0.9143501454761066,45.39,0.003964525155047517
10,100,0.8,1,2,5431,0.047930220582286444,0.980232203768945,0.9420000000000001,0.021462378594886818,0.016068968780841037,0.002328479361305002,0.0027370856893433825,0.021598226365345044,0.016389405779633163,0.007632364133178636,0.8935477010670034,0.9237318459182547,33.35,0.007632364133178636
10,100,0.8,1,3,5449,0.03308341771862394,0.986622082371906,0.9426666666666665,0.021082295246175848,0.01598088737261543,0.0025325118861442325,5.743625653541776e-4,0.02116007260530436,0.016139417644842717,0.006607181868998046,0.8940398719852867,0.921192533476316,48.77,0.006607181868998046
10,500,0,0.8,2,5350,0.1592306834257457,0.8407693165790806,1,0.009329563864613309,0.009329563736829263,0.003917367924201592,0.003917368017839015,0.00921990741726299,0.009219908636391475,9.652719042955474e-13,0.9521856845228491,0.9521856727470255,10.18,9.652719042955474e-13
10,500,0,0.8,3,5368,0.13914378815918457,0.8608562118451383,1,0.015301024549960369,0.015301025020675051,-0.0014992979059113129,-0.001499283438704245,0.015432384085955321,0.015432384201291541,8.645800673660812e-13,0.9221521507540253,0.922152151637124,10.15,8.645800673660812e-13
10,500,0,0.95,2,5386,0.039889536961193225,0.9601104630411489,1,0.003119385308313373,0.0031193853490095024,0.0017688741386773879,0.0017688827022247261,0.0030957202732854005,0.003095720744773316,4.684170834804091e-13,0.9841938990031528,0.9841938980787359,11.01,4.684170834804091e-13
10,500,0,0.95,3,5404,0.034815359526842636,0.9651846404751248,1,0.00689658991446463,0.0068965900459343745,1.0618381420435403e-6,1.0493711786616173e-6,0.006904446391978195,0.006904445870006418,3.934927420470976e-13,0.9649722095469012,0.9649722089811156,11.01,3.934927420470976e-13
10,500,0,1,2,5422,4.141206362568918e-31,1,1,7.092434922920987e-6,7.092434922921001e-6,4.8770909517641637e-5,4.877090951763687e-5,7.262177041908418e-6,7.262177041908437e-6,1.6850836929454727e-32,0.9999646052363333,0.9999646052363332,98.2,1.6850836929454727e-32
10,500,0,1,3,5440,1.6528577380915783e-31,1,1,1.05618129169802e-5,1.0561812916980302e-5,-2.6687444141107674e-5,-2.6687444141110744e-5,1.0632531245568394e-5,1.0632531245568502e-5,9.04199748487093e-33,0.9999469776267574,0.9999469776267574,102,9.04199748487093e-33
10,500,0.5,0.8,2,5356,0.17857666852955154,0.8315051964106399,0.734,0.033931364063367234,0.029859230043733465,0.003745718623663517,0.0038557395331501897,0.03430497603636585,0.03018065582082231,0.006007328814296378,0.8271313733347772,0.8494089994288171,51.85,0.006007328814296378
10,500,0.5,0.8,3,5374,0.1582443887482868,0.8515724844261917,0.708,0.03941805254969479,0.03509871369264705,0.0045133506219271246,0.003009724547099558,0.03949924693103842,0.03526708712935553,0.007291338496943012,0.8014731736245552,0.8252623076287471,73.57,0.007291338496943012
10,500,0.5,0.95,2,5392,0.06161024978996369,0.9515474776509933,0.752,0.030972565797533498,0.026389101403170183,-0.003911724421100239,-0.0026034518115446294,0.031031877140258332,0.026631137899123847,0.004621857047477134,0.8460409867313542,0.8695987800067668,55.38,0.004621857047477134
10,500,0.5,0.95,3,5410,0.05607549728319758,0.9567666478864573,0.706,0.040843845138445425,0.03663852065704972,-0.0027389858521705552,-0.0028195036105300593,0.04081003089467561,0.03650285365289605,0.0039015465118472916,0.7942158009198844,0.8181508767058049,82.87,0.0039015465118472916
10,500,0.5,1,2,5428,0.022131085520351815,0.9917998105330698,0.763,0.0299813633388313,0.025436439209553834,0.004523355856305119,0.0033843743487645887,0.029951678908679495,0.025381454967787504,0.0027861792106843152,0.8478550904431326,0.8726755463839007,71.21,0.0027861792106843152
10,500,0.5,1,3,5446,0.019703294457656336,0.992850923521068,0.7173333333333333,0.03925601418519186,0.03524342710173887,9.210128447756864e-5,4.2030696431494057e-4,0.03903536256886514,0.03509398060559724,0.0025108435957448562,0.8054223755304498,0.8267685566495602,89.33,0.0025108435957448562
10,500,0.8,0.8,2,5362,0.17918154020817464,0.8307518271760737,0.959,0.015620889141582562,0.012394461065505168,-7.09169943345106e-4,1.765682736465107e-4,0.01575247209703413,0.012545856877580539,0.0019866734768496717,0.9221470434533519,0.9396681832953949,24.65,0.0019866734768496717
10,500,0.8,0.8,3,5380,0.15884211698614115,0.8507524034950902,0.9413333333333332,0.021742442653557945,0.017118305148001094,-0.001532643705327957,2.702166633539262e-4,0.021805456781615676,0.017061792448986403,0.004570332144045184,0.8893189662242368,0.91481906771388,42.23,0.004570332144045184
10,500,0.8,0.95,2,5398,0.055490633714748695,0.9537756190091585,0.969,0.012594438843279003,0.010020465847313583,-0.0021007925718422105,-0.004254946116026356,0.012545677201537373,0.010051531950383129,0.003852785856343167,0.9381793064981342,0.9507681146383681,23.03,0.003852785856343167
10,500,0.8,0.95,3,5416,0.059004745050930715,0.9544870720369,0.9393333333333332,0.022032709410141002,0.01708395366679554,0.002885779007670431,0.0026628700946711966,0.02196534020548944,0.017030191284186834,0.0053189186974872535,0.8883143729265199,0.9156603024676552,47.05,0.0053189186974872535
10,500,0.8,1,2,5434,0.018450878021446297,0.9926192382985513,0.963,0.013887428355968937,0.010451449805983514,0.0023456835228963207,6.475976049890745e-4,0.013631013138924572,0.010278855864322022,0.00422435672925883,0.9299798155215921,0.9493092267116172,27.34,0.00422435672925883
10,500,0.8,1,3,5452,0.02502933040951053,0.9882463141332078,0.9273333333333332,0.026433762617579466,0.02065450431240097,0.0013073652116339517,0.0023745172417348986,0.02635941341941614,0.02063500106462243,0.00398854668480201,0.8673996054177321,0.8990222933774354,58.27,0.00398854668480201
100,100,0,0.8,2,5348,0.19208791151695842,0.8079120884897689,1,5.39862462625087e-4,5.398624180971337e-4,6.729983095170684e-5,6.729830348608566e-5,5.394324613487826e-4,5.39432421210902e-4,1.3454611516711153e-13,0.9729881327255563,0.9729881352207065,10,1.3454611516711153e-13
100,100,0,0.8,3,5366,0.18816971185187895,0.8118302881557903,1,0.0013714100251783915,0.0013714100117772402,7.711263617785115e-5,7.711202077896613e-5,0.0013711380983658823,0.0013711380815615935,1.5338537720105788e-13,0.9313792872451039,0.9313792880764964,10,1.5338537720105788e-13
100,100,0,0.95,2,5384,0.047991687186598506,0.9520083128156864,1,1.2993033513019012e-4,1.2993032726164118e-4,2.2738235281165903e-5,2.273912584501396e-5,1.300180848411584e-4,1.3001807746874293e-4,4.569980276235584e-14,0.9935008219644454,0.9935008222560862,11,4.569980276235584e-14
100,100,0,0.95,3,5402,0.04702578742262084,0.9529742125800452,1,4.7972447452094516e-4,4.797244753207306e-4,-7.351234522074506e-8,-7.340522328408673e-8,4.797540022866763e-4,4.797540041311122e-4,5.332221090076314e-14,0.9760179530111378,0.9760179530596519,11,5.332221090076314e-14
100,100,0,1,2,5420,2.4138768519752967e-31,1,1,4.979372567212544e-8,4.9793725672125267e-8,-2.843144380505902e-6,-2.8431443805064867e-6,4.980494646971619e-8,4.980494646971605e-8,9.990702553865246e-34,0.9999975097189239,0.9999975097189239,102,9.990702553865246e-34
100,100,0,1,3,5438,2.5929218775234806e-31,1,1,1.0180367047598888e-7,1.0180367047598935e-7,-1.961525424321929e-6,-1.9615254243227743e-6,1.0185529146390216e-7,1.0185529146390263e-7,1.0920083660172474e-33,0.9999949071660139,0.9999949071660139,102,1.0920083660172474e-33
100,100,0.5,0.8,2,5354,0.21031644423035828,0.800571165242981,0.8369,0.002062865581415782,0.0016477167160366462,7.230181140109015e-5,-1.1994002768835548e-5,0.00206506036738438,0.0016500955970835123,2.177521894667837e-4,0.89689696491195,0.9186556145245423,33.03,2.177521894667837e-4
100,100,0.5,0.8,3,5372,0.20833906578849282,0.8036652172926619,0.7669333333333334,0.003376470915216847,0.0028651281292809694,-7.657886620501088e-4,-5.643972251022785e-4,0.0033777623697730658,0.002866614729199842,3.734106315249177e-4,0.8309900757628228,0.8584327674485264,40.24,3.734106315249177e-4
100,100,0.5,0.95,2,5390,0.06763008297387693,0.9448963638092512,0.8221,0.0023257343028993006,0.0018957013578092474,3.282379640946259e-4,3.5850519807482326e-4,0.002326180443440873,0.001896949921308502,2.505289356625588e-4,0.8836853108695383,0.9066517943189001,39.08,2.505289356625588e-4
100,100,0.5,0.95,3,5408,0.06948764517658262,0.9447613370234642,0.7503333333333334,0.003846504488217517,0.0033059646746189195,4.8445072041963454e-5,5.12141701287717e-5,0.0038454070882243947,0.003304223047981235,6.86000648514206e-4,0.8075732158589849,0.8371461280942478,47.24,6.86000648514206e-4
100,100,0.5,1,2,5426,0.019869942867001434,0.9930868332623352,0.8367,0.002051270456213731,0.0016190591121188719,-3.1944411205679294e-4,-4.6948837210818314e-4,0.0020520672795626897,0.0016188153671929477,2.591355225867281e-4,0.8973498018693086,0.9202870982722541,45.34,2.591355225867281e-4
100,100,0.5,1,3,5444,0.02205455386038623,0.9922943017320514,0.7636000000000001,0.003443603278555632,0.002906393127026193,4.8712980131114617e-4,3.2053018829770314e-4,0.0034429826851252988,0.0029065115711763363,2.869771118487467e-4,0.827872417176568,0.8569266110705072,51.54,2.869771118487467e-4
100,100,0.8,0.8,2,5360,0.28997380758291363,0.7619193742014987,0.8963,0.0038062916920213394,0.002685856128452576,-3.2983165319605003e-4,-1.4326960079881092e-4,0.0038078259668152714,0.0026848701038445564,0.001437628405586495,0.8097657695204649,0.8738619604519665,29.88,0.001437628405586495
100,100,0.8,0.8,3,5378,0.2943437076018511,0.7607077917481054,0.8643333333333334,0.005325118749237783,0.003924180504202222,8.381658521551262e-4,5.761941524369975e-4,0.0053242508838835445,0.003925038145219115,0.0012343691510415384,0.7338447696445952,0.8154598171395989,35.77,0.0012343691510415384
