n_variables,s_size,p_sparse,VAFx,n_components,Dataset,Loss,FEV,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,Var_W,Var_P,msd_W_P,W_Corr,P_Corr,Iterations,MSE_W_P
10,100,0,0.8,2,5347,0.1575120345045403,0.8424879655015782,1,0.08486769281374457,12.655078783267,0.0032085272693591935,-0.06858213627645418,0.0847569004066456,12.565766375087737,1.223695189993836e-12,0.9608251677231567,0.9608251874319257,10.32,1.223695189993836e-12
10,100,0,0.8,3,5365,0.13530857139690122,0.8646914286090601,1,0.08502859498012816,12.093364541525215,-0.0052766841420411985,0.07646551653591262,0.08467068075312162,12.084665096585136,1.1922687553786383e-12,0.9278924384157755,0.9278924461705961,10.7,1.1922687553786383e-12
10,100,0,0.95,2,5383,0.039209034985659946,0.9607909650174233,1,0.0845663354191413,12.680862505468669,0.007164040861890821,-0.09426074009856364,0.08426328717698583,12.607570911388875,6.166758379155163e-13,0.9821835379140235,0.9821835453951067,11.15,6.166758379155163e-13
10,100,0,0.95,3,5401,0.0338487996126169,0.9661512003908362,1,0.08436818344876662,11.880978440849503,0.010315191041561976,-0.12135354436152813,0.08466577262801389,11.93291438527517,6.906241748292863e-13,0.9639445560437162,0.963944553694484,11.24,6.906241748292863e-13
10,100,0,1,2,5419,1.25899925910944e-31,1,1,0.08421117068204809,12.512569805175199,-0.004711872767961415,0.056727327257382734,0.08367853604381198,12.44112030925894,7.083814242085182e-33,0.9999609897424546,0.9999609897424546,93.94,7.083814242085182e-33
10,100,0,1,3,5437,1.363313129383098e-31,1,1,0.0838081957282708,11.851353792985734,0.0066413696551599335,-0.07578504104104933,0.08373573175752005,11.842807870861492,7.436487411180217e-33,0.9999399521289325,0.9999399521289325,102,7.436487411180217e-33
10,100,0.5,0.8,2,5353,0.17110697530474012,0.8360494418364434,0.697,0.0848609028914336,11.232159752974972,7.830274625627816e-4,-0.061498543321639676,0.08484520615119812,11.211295391257474,0.001431283428236704,0.8988052511197528,0.9156202428096314,47.56,0.001431283428236704
10,100,0.5,0.8,3,5371,0.1491889214733615,0.858166406465906,0.591,0.08562616287992363,10.940215279069504,-0.007116476886451604,0.03459327465036829,0.0857068669063715,10.943964844977849,0.002797610875746922,0.8339008486968069,0.8484788993240991,73.6,0.002797610875746922
10,100,0.5,0.95,2,5389,0.0532134611725494,0.9553687094852259,0.696,0.08512680353860341,11.558240306819012,-0.001610228119920985,0.025276129578460024,0.08515189579131362,11.616946442550313,0.0017164341315550648,0.8984166972687867,0.9144502587927769,53.17,0.0017164341315550648
10,100,0.5,0.95,3,5407,0.05170922333386601,0.9589972232387866,0.585,0.08574055182714516,10.927860009715236,0.003252551289290977,-0.03209059980358734,0.08645807987221503,10.995795712995827,0.004783248735100307,0.8290412982787387,0.8494466517260636,82.28,0.004783248735100307
10,100,0.5,1,2,5425,0.012896732718152611,0.9953665990708945,0.706,0.08497171346386882,11.418920311518422,0.0065231230471762686,-0.11761069934966607,0.08492092239645528,11.42262528713033,0.0016526663578094341,0.9040099840223706,0.9182433960852426,69.91,0.0016526663578094341
10,100,0.5,1,3,5443,0.018324843805350103,0.9933037219240964,0.585,0.0855134321192225,10.879425137874463,0.0022868220812508155,-0.017119991489031528,0.08560452779360946,10.805400139294347,0.004992262651598156,0.8381481380508274,0.8563738596007676,89.27,0.004992262651598156
