n_variables,s_size,p_sparse,VAFx,n_components,Dataset,Loss,FEV,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,Var_W,Var_P,msd_W_P,W_Corr,P_Corr,Iterations,MSE_W_P
10,100,0,0.8,2,5347,0.15668484810418318,0.8433151368349724,1,0.009421477453645365,0.009420659053355323,0.0011480193938488202,0.0011472023881627456,0.009196205003684064,0.009195451497482236,1.2590859884986572e-9,0.9513713925059032,0.9513716386672404,10.61,1.2590859884986572e-9
10,100,0,0.8,3,5365,0.13562584199874975,0.8643741482371528,1,0.018718608981051488,0.01871775680850056,-0.0013995946921806592,-0.0013990105892937004,0.01864494084938421,0.018644101991237293,7.300927678063399e-10,0.9057006166930446,0.9057005803359126,11.38,7.300927678063399e-10
10,100,0,0.95,2,5383,0.03918714892973901,0.960812850313674,1,0.003739548162963534,0.003739466600301258,-1.4498598255582048e-5,-1.4525988538525213e-5,0.0036903010116828396,0.0036902202893540556,5.051292121377394e-11,0.9810058533818947,0.9810058515482909,14.11,5.051292121377394e-11
10,100,0,0.95,3,5401,0.03389867135099014,0.9661013280023111,1,0.008114301951235104,0.008114159055958463,-7.362370229661094e-4,-7.362062499070451e-4,0.00810196172304023,0.008101816799775173,4.0421132999808975e-11,0.9592833000469346,0.9592833005177905,14.75,4.0421132999808975e-11
10,100,0,1,2,5419,1.1000619178449573e-31,1,1,8.084174099029446e-6,8.084174099029309e-6,6.224796424171192e-5,6.224796424171821e-5,8.169037684133567e-6,8.169037684133423e-6,4.344995971503967e-33,0.999959110500467,0.999959110500467,102,4.344995971503967e-33
10,100,0,1,3,5437,1.1883883763447876e-31,1,1,1.0583938739624803e-5,1.058393873962481e-5,-3.6621394406530315e-6,-3.662139440660136e-6,1.060160308624098e-5,1.0601603086240971e-5,4.76244838072923e-33,0.999946187384161,0.999946187384161,102,4.76244838072923e-33
10,100,0.5,0.8,2,5353,0.18799566458776326,0.8120082198507078,0.816,0.022868196331305574,0.02276689983785861,-0.0011242890916280785,4.8484014222174995e-4,0.022916470550149327,0.022780634702191143,7.601758619791866e-9,0.8851331392618783,0.8856828849758046,26.21,7.601758619791866e-9
10,100,0.5,0.8,3,5371,0.17555990405146624,0.8244412178233309,0.72,0.039106792157221994,0.037886246201278215,-0.0013352490489389813,3.5175335643348375e-4,0.03884885455457267,0.03753241190114595,0.0026666825980299737,0.8026091016916199,0.8102884338363945,39.63,0.0026666825980299737
10,100,0.5,0.95,2,5389,0.08053473239854363,0.9194696458753562,0.83,0.021223453771010734,0.021174168974195152,-0.0023787963140403873,-0.004594794503520491,0.021441199470204644,0.021434149186300898,0.0019999637065274485,0.8937421173550377,0.8929129786088238,27.82,0.0019999637065274485
10,100,0.5,0.95,3,5407,0.07374361189983683,0.9262658534897598,0.77,0.03145820174865131,0.030907506115313586,0.0034083918388377434,0.0037931595549273466,0.03147326781871559,0.03100579962477851,0.0013338083404820602,0.8405520863284568,0.8434873850209604,46.8,0.0013338083404820602
10,100,0.5,1,2,5425,0.0395329479488665,0.960469859973844,0.843,0.020606492631217787,0.020458143077763162,-0.0031042990109844985,-0.002198521291959331,0.020665300350465873,0.020481180034576052,1.672552614182368e-10,0.8985138876276982,0.8988636694761986,29.8,1.672552614182368e-10
10,100,0.5,1,3,5443,0.043132775808455155,0.9568684136577715,0.7626666666666667,0.03105815020793011,0.030596229104123823,-0.0015039224855361605,-0.0017915634669322712,0.03095711720058722,0.030547229792701153,8.620916571922322e-10,0.8433961443193595,0.8438927791735711,44.75,8.620916571922322e-10
