n_variables,s_size,p_sparse,VAFx,n_components,Loss,FEV,Recovery_Rate,MSE_W,MSE_P,Bias_W,Bias_P,Var_W,Var_P,msd_W_P,W_Corr,P_Corr,Iterations,MSE_W_P
10,500,0.5,1,2,0.037577804,0.962424686,0.7,0.0924688,50.12507523,0.007237584,-0.197237324,0.092743139,50.20741046,1.04E-10,0.883844071,0.882705004,34.88,1.04E-10
10,500,0.5,1,3,0.040458221,0.959542329,0.594,0.092948244,49.59227523,-0.003977311,0.097736715,0.092610433,49.36043915,0.002666666,0.817847187,0.815115462,43.12,0.002666666
10,500,0.8,0.8,2,0.1729486,0.827053332,0.666,0.089735699,32.68610783,-0.001374656,0.012339589,0.089642297,32.49362678,1.69E-10,0.962519532,0.962308649,20.21,1.69E-10
10,500,0.8,0.8,3,0.16327225,0.836728974,0.508666667,0.08977522,31.60517862,7.53E-04,0.020468221,0.089931092,31.69958217,1.71E-10,0.916463241,0.923250959,31.51,1.71E-10
10,500,0.8,0.95,2,0.055213996,0.944786992,0.65,0.089700572,32.4114501,0.015013351,-0.237774231,0.089221764,32.29429904,1.23E-10,0.958535538,0.955925453,23.22,1.23E-10
10,500,0.8,0.95,3,0.058259691,0.941740587,0.530333333,0.089739775,31.91073399,0.00187955,-0.045298849,0.090415646,32.19600813,7.34E-11,0.913746562,0.920219202,36.51,7.34E-11
10,500,0.8,1,2,0.017161083,0.982838969,0.681,0.089653821,32.23023623,0.004981228,-0.05294669,0.088816481,32.02276045,1.05E-12,0.95725132,0.955514346,85.07,1.05E-12
10,500,0.8,1,3,0.017858003,0.982142062,0.518666667,0.089641598,31.97419629,0.006144298,-0.160783254,0.088872305,31.73267049,7.76E-12,0.933147317,0.933095299,70.91,7.76E-12
100,100,0,0.8,2,0.191905743,0.808094215,1,0.00901905,3.350682689,-1.98E-04,0.003280223,0.009025228,3.353485562,3.84E-10,0.970574522,0.970574521,9.06,3.84E-10
100,100,0,0.8,3,0.188241933,0.811758048,1,0.009049389,3.28359093,4.83E-04,-0.007252437,0.009049786,3.285152686,1.63E-10,0.930631642,0.930631643,9.8,1.63E-10
100,100,0,0.95,2,0.048021813,0.951978186,1,0.009001988,3.352936027,1.79E-06,-0.002277697,0.009017893,3.358424046,5.11E-12,0.988311763,0.988311764,13.82,5.11E-12
100,100,0,0.95,3,0.047036511,0.952963468,1,0.009000524,3.275813925,-8.01E-04,0.013147142,0.00899885,3.275404099,1.56E-10,0.978614979,0.978614956,13.79,1.56E-10
100,100,0,1,2,2.60E-31,1,1,0.008989437,3.346191038,2.02E-04,-0.003805174,0.008997282,3.349004397,7.25E-34,0.999997047,0.999997047,102,7.25E-34
100,100,0,1,3,2.65E-31,1,1,0.008978498,3.27142533,-4.78E-04,0.009079807,0.008976103,3.2706304,7.92E-34,0.999995392,0.999995392,102,7.92E-34
100,100,0.5,0.8,2,0.210126132,0.789877556,0.7405,0.009026782,3.118710267,7.60E-04,-0.012160652,0.009035464,3.121332667,9.00E-11,0.930230863,0.930258935,22.37,9.00E-11
100,100,0.5,0.8,3,0.219538366,0.78046519,0.6222,0.009088713,3.046652114,3.11E-04,-0.002643194,0.009095839,3.048873666,6.05E-11,0.859491656,0.85955751,27.13,6.05E-11
100,100,0.5,0.95,2,0.067228843,0.932773217,0.7418,0.009012752,3.103983949,-0.001128582,0.028172697,0.009014791,3.10308501,4.08E-11,0.941546616,0.941636433,27.65,4.08E-11
